date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:50:22	273/273	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Feb%202021%2012:50:21%20GMT	http://wplocal.com/robots.txt		(from )
09:50:22	8528/8528	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202021%2012:50:22%20GMT	http://wplocal.com/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.html	(from )
09:50:23	51338/51338	---M-Z	200	added ('OK')	text/css	etag:%22c88a-5bb88dd484280-gzip%22	http://wplocal.com/wp-includes/css/dist/block-library/style.min.css?ver=5.6.2	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/wp-includes/css/dist/block-library/style.min4c7e.css	(from http://wplocal.com/)
09:50:24	2297/2297	---M-Z	200	added ('OK')	text/css	etag:%228f9-5b18d23a3dd80-gzip%22	http://wplocal.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.6.2	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/wp-includes/css/dist/block-library/theme.min.14c7e.delayed	(from http://wplocal.com/)
09:50:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Feb%202021%2012:50:24%20GMT	http://s.w.org/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/s.w.org/index.html	(from http://wplocal.com/)
09:50:24	1693/1693	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e4bcba79ef825fed58faa90fd5ab1d9b-gzip%22	http://wplocal.com/index.php/comments/feed/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/comments/feed/index.html	(from http://wplocal.com/)
09:50:24	1730/1730	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e4bcba79ef825fed58faa90fd5ab1d9b-gzip%22	http://wplocal.com/index.php/feed/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/feed/index.html	(from http://wplocal.com/)
09:50:25	152103/152103	---M-Z	200	added ('OK')	text/css	etag:%2225227-5b711adeef900-gzip%22	http://wplocal.com/wp-content/themes/twentytwentyone/style.css?ver=1.1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/wp-content/themes/twentytwentyone/style4963.css	(from http://wplocal.com/)
09:50:26	2897/2897	---M-Z	200	added ('OK')	text/css	etag:%22b51-5b3ed2fda25c0-gzip%22	http://wplocal.com/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/wp-content/themes/twentytwentyone/assets/css/print4963.css	(from http://wplocal.com/)
09:50:27	784/784	---M-Z	200	added ('OK')	text/xml	date:Thu,%2025%20Feb%202021%2012:50:27%20GMT	http://wplocal.com/xmlrpc.php?rsd	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/xmlrpc0db0.php	(from http://wplocal.com/)
